Vardas              Pavarde             ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9   ND10  ND11  ND12  ND13  ND14  ND15  Egz.  
Vardas1             Pavarde1            6     8     4     6     2     2     8     3     5     3     4     7     3     9     8     7     
Vardas2             Pavarde2            3     1     4     7     5     8     4     7     7     9     3     3     1     1     9     3     
Vardas3             Pavarde3            1     7     8     3     6     7     8     3     9     9     5     6     8     9     6     8     
Vardas4             Pavarde4            8     8     3     3     6     2     10    6     4     3     8     3     6     1     5     7     
Vardas5             Pavarde5            3     5     9     8     9     8     3     4     9     8     10    7     8     2     1     5     
Vardas6             Pavarde6            9     8     5     1     4     1     7     2     1     9     2     3     3     3     9     9     
Vardas7             Pavarde7            5     7     8     8     6     1     2     8     4     6     8     9     10    9     6     3     
Vardas8             Pavarde8            2     8     4     10    7     7     9     3     2     6     3     3     10    10    10    1     
Vardas9             Pavarde9            2     9     6     7     9     1     8     9     4     5     1     7     7     3     4     9     
Vardas10            Pavarde10           6     4     9     2     9     6     4     4     10    2     8     4     4     6     7     2     
Vardas11            Pavarde11           8     3     8     10    2     5     3     4     1     2     8     8     7     4     3     9     
Vardas12            Pavarde12           10    5     10    4     3     4     10    5     5     10    9     1     7     3     2     10    
Vardas13            Pavarde13           8     6     7     4     2     7     3     5     8     8     2     9     4     7     1     4     
Vardas14            Pavarde14           3     1     3     4     9     7     6     8     2     1     10    10    8     3     4     5     
Vardas15            Pavarde15           8     2     7     4     4     1     3     7     7     2     7     10    4     3     9     6     
Vardas16            Pavarde16           1     7     4     3     10    10    8     10    10    1     8     4     2     2     7     10    
Vardas17            Pavarde17           1     3     7     10    2     2     10    5     10    7     9     9     3     4     1     3     
Vardas18            Pavarde18           8     7     10    6     1     10    3     9     7     9     4     4     5     5     8     4     
Vardas19            Pavarde19           9     8     8     10    4     9     10    10    8     10    6     1     5     7     2     9     
Vardas20            Pavarde20           6     7     7     4     6     8     6     5     1     7     6     10    7     8     7     6     
Vardas21            Pavarde21           7     3     1     3     4     6     1     9     4     4     8     1     9     1     6     5     
Vardas22            Pavarde22           4     1     7     6     7     2     7     9     9     7     2     5     8     6     8     10    
Vardas23            Pavarde23           7     4     4     8     1     9     2     7     3     4     9     5     7     1     7     10    
Vardas24            Pavarde24           2     4     6     1     1     7     3     8     10    10    7     5     2     3     3     8     
Vardas25            Pavarde25           10    4     10    6     5     9     9     9     10    1     8     9     4     8     6     10    
Vardas26            Pavarde26           7     10    1     4     1     5     6     6     8     6     1     4     7     6     8     4     
Vardas27            Pavarde27           10    3     1     8     6     7     5     10    2     1     1     5     5     1     10    9     
Vardas28            Pavarde28           6     6     1     6     8     10    8     4     3     9     1     2     7     1     1     6     
Vardas29            Pavarde29           10    2     4     10    10    8     7     4     3     10    4     9     7     1     1     8     
Vardas30            Pavarde30           5     4     4     5     6     6     10    3     3     9     8     9     5     10    4     9     
Vardas31            Pavarde31           6     3     7     5     7     6     5     6     7     7     10    7     5     10    9     7     
Vardas32            Pavarde32           6     7     5     6     1     7     10    2     2     5     2     4     9     8     7     3     
Vardas33            Pavarde33           3     7     8     4     5     6     6     1     7     7     8     5     10    7     8     5     
Vardas34            Pavarde34           4     8     1     3     1     2     4     6     3     3     4     1     5     5     4     3     
Vardas35            Pavarde35           3     5     7     5     5     10    8     10    4     5     4     8     9     1     4     6     
Vardas36            Pavarde36           2     4     4     9     10    10    1     3     3     8     6     6     6     6     1     3     
Vardas37            Pavarde37           1     2     8     2     2     9     3     9     9     7     9     3     10    9     7     1     
Vardas38            Pavarde38           9     10    5     2     5     1     8     8     8     7     6     7     2     5     7     10    
Vardas39            Pavarde39           7     4     1     8     10    7     7     1     2     2     6     4     5     5     1     5     
Vardas40            Pavarde40           10    3     7     9     10    3     1     2     6     2     1     8     2     8     7     9     
Vardas41            Pavarde41           10    2     3     2     1     2     4     9     1     5     6     6     5     1     8     7     
Vardas42            Pavarde42           3     7     3     9     7     3     10    6     8     8     8     9     3     3     9     8     
Vardas43            Pavarde43           5     8     2     6     8     4     4     10    6     2     5     7     4     5     6     4     
Vardas44            Pavarde44           10    3     10    10    8     2     7     9     2     4     3     8     5     5     1     1     
Vardas45            Pavarde45           3     1     1     8     6     4     9     10    3     5     8     4     7     1     7     6     
Vardas46            Pavarde46           5     3     8     9     8     8     7     2     6     6     7     3     1     9     2     10    
Vardas47            Pavarde47           3     3     3     7     2     9     3     6     1     3     6     10    7     8     10    3     
Vardas48            Pavarde48           6     1     6     4     6     4     8     10    10    10    9     6     7     6     2     10    
Vardas49            Pavarde49           4     8     1     2     5     6     7     3     6     1     7     10    10    2     3     2     
Vardas50            Pavarde50           4     6     8     8     9     1     4     9     2     4     10    7     4     3     10    4     
Vardas51            Pavarde51           4     2     1     4     10    1     6     8     6     3     10    3     4     6     5     7     
Vardas52            Pavarde52           5     8     3     1     9     10    2     6     10    10    8     4     1     9     3     9     
Vardas53            Pavarde53           7     9     9     10    10    8     7     2     6     1     7     2     8     5     4     7     
Vardas54            Pavarde54           4     5     4     5     10    3     4     2     9     8     6     6     4     7     7     10    
Vardas55            Pavarde55           6     3     5     2     6     3     6     5     4     5     1     8     8     1     10    8     
Vardas56            Pavarde56           1     7     6     5     1     2     10    4     4     6     4     2     3     3     2     3     
Vardas57            Pavarde57           1     5     6     4     1     7     9     9     4     4     10    2     9     6     4     1     
Vardas58            Pavarde58           7     6     1     1     7     5     8     9     8     5     7     6     2     3     1     9     
Vardas59            Pavarde59           8     2     10    1     7     4     3     6     5     3     6     3     5     3     4     4     
Vardas60            Pavarde60           3     6     7     6     2     5     1     6     9     5     6     10    5     1     2     1     
Vardas61            Pavarde61           8     1     3     5     2     5     7     1     3     6     3     4     1     4     1     3     
Vardas62            Pavarde62           8     7     3     10    10    9     2     8     8     2     2     3     9     4     7     3     
Vardas63            Pavarde63           7     7     10    6     4     3     6     2     3     10    4     3     10    6     8     9     
Vardas64            Pavarde64           4     6     4     3     1     8     4     3     9     7     5     10    3     5     9     3     
Vardas65            Pavarde65           5     5     8     5     3     3     1     4     2     10    9     10    10    5     7     9     
Vardas66            Pavarde66           10    2     5     8     3     5     3     7     1     6     3     4     5     1     10    9     
Vardas67            Pavarde67           9     8     2     8     8     1     10    5     2     5     4     9     2     8     8     8     
