Vardas              Pavarde             ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9   ND10  ND11  ND12  ND13  ND14  ND15  Egz.  
Vardas1             Pavarde1            3     5     3     9     3     4     10    2     8     4     6     4     10    6     5     1     
Vardas2             Pavarde2            6     5     3     10    6     5     4     7     7     8     2     1     10    7     5     4     
Vardas3             Pavarde3            4     1     6     1     9     5     10    9     6     5     2     7     3     3     8     9     
Vardas4             Pavarde4            6     2     6     5     2     6     1     3     9     1     5     9     8     4     8     2     
Vardas5             Pavarde5            9     8     10    5     7     1     6     3     1     3     6     1     9     2     8     8     
Vardas6             Pavarde6            8     10    2     7     10    1     2     4     2     7     7     3     9     8     6     3     
Vardas7             Pavarde7            4     10    7     4     7     9     2     4     6     5     2     5     6     7     2     3     
Vardas8             Pavarde8            6     8     5     5     2     8     4     2     4     4     5     10    9     1     3     2     
Vardas9             Pavarde9            3     1     3     7     4     10    5     1     4     10    3     7     9     3     8     2     
Vardas10            Pavarde10           9     1     8     1     7     8     9     2     5     10    2     6     7     8     3     9     
Vardas11            Pavarde11           1     3     6     9     5     2     4     6     5     10    3     8     4     3     3     10    
Vardas12            Pavarde12           10    6     2     5     6     2     10    7     1     8     7     10    2     9     5     3     
Vardas13            Pavarde13           4     6     7     5     9     2     3     4     3     1     4     5     1     3     9     4     
Vardas14            Pavarde14           8     10    10    2     7     9     6     9     9     6     3     3     6     8     7     7     
Vardas15            Pavarde15           9     3     8     10    8     10    9     6     4     5     6     2     9     2     3     1     
Vardas16            Pavarde16           8     5     4     5     9     2     5     7     8     10    6     10    1     4     7     5     
Vardas17            Pavarde17           4     3     3     4     9     8     8     10    5     8     8     3     3     8     5     1     
Vardas18            Pavarde18           10    6     6     3     9     3     7     5     9     4     9     10    3     2     4     10    
Vardas19            Pavarde19           6     3     4     2     10    5     7     7     10    1     9     5     7     4     7     8     
Vardas20            Pavarde20           2     10    1     2     9     4     6     1     9     3     9     8     8     3     7     10    
Vardas21            Pavarde21           2     1     8     5     9     9     5     2     10    9     3     6     9     10    2     8     
Vardas22            Pavarde22           1     1     4     1     5     5     3     5     5     6     10    9     10    8     4     1     
