Vardas              Pavarde             ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9   ND10  ND11  ND12  ND13  ND14  ND15  Egz.  
Vardas1             Pavarde1            9     5     7     8     4     8     4     7     1     9     3     1     10    10    4     2     
Vardas2             Pavarde2            5     7     7     6     7     3     3     10    10    1     3     9     7     8     10    3     
Vardas3             Pavarde3            5     3     2     7     3     7     8     3     2     2     8     4     3     6     2     10    
Vardas4             Pavarde4            4     9     10    1     8     5     6     3     7     8     2     5     6     3     8     10    
Vardas5             Pavarde5            9     10    10    9     2     8     7     4     1     7     4     6     6     9     10    10    
Vardas6             Pavarde6            4     6     7     3     9     5     10    4     1     8     6     3     3     8     8     7     
Vardas7             Pavarde7            10    10    4     6     8     3     5     8     5     9     4     1     7     6     8     9     
Vardas8             Pavarde8            7     3     7     3     8     1     4     3     9     10    7     7     4     1     7     5     
Vardas9             Pavarde9            6     9     7     7     7     3     2     9     3     3     1     4     5     9     7     3     
Vardas10            Pavarde10           9     9     8     9     5     4     6     9     5     2     2     5     7     8     10    6     
Vardas11            Pavarde11           6     3     10    6     5     9     4     2     3     9     6     5     10    5     5     3     
Vardas12            Pavarde12           2     6     3     5     7     3     8     1     6     9     5     3     2     5     3     5     
Vardas13            Pavarde13           10    6     6     1     9     10    3     6     4     4     6     9     5     2     10    8     
Vardas14            Pavarde14           6     6     8     8     10    6     6     6     6     1     8     4     5     7     1     2     
Vardas15            Pavarde15           3     7     10    3     6     4     3     10    6     10    8     9     3     6     10    7     
Vardas16            Pavarde16           6     1     4     3     8     4     6     9     3     7     1     6     4     5     7     2     
Vardas17            Pavarde17           7     3     2     9     5     4     4     7     5     10    10    4     6     6     10    7     
Vardas18            Pavarde18           6     6     10    10    5     2     2     4     6     1     8     2     9     3     7     3     
Vardas19            Pavarde19           6     3     6     10    5     3     6     1     1     6     10    4     4     4     9     8     
Vardas20            Pavarde20           6     1     2     9     3     7     7     4     4     3     8     4     1     9     8     9     
Vardas21            Pavarde21           9     7     5     10    1     1     5     8     9     10    10    8     1     2     1     9     
Vardas22            Pavarde22           3     4     10    10    5     9     9     4     1     1     2     1     2     3     8     3     
Vardas23            Pavarde23           5     2     5     6     6     7     9     4     1     2     8     7     10    9     2     10    
Vardas24            Pavarde24           5     8     7     4     10    2     1     10    4     5     1     10    4     5     7     2     
Vardas25            Pavarde25           10    6     1     9     3     1     5     4     4     10    6     7     3     3     10    4     
Vardas26            Pavarde26           2     5     5     8     4     10    3     5     9     6     4     4     8     7     5     10    
Vardas27            Pavarde27           6     9     8     3     2     9     9     8     8     9     1     2     6     4     9     9     
Vardas28            Pavarde28           4     8     6     10    1     2     7     7     4     4     8     7     1     2     8     8     
Vardas29            Pavarde29           10    7     8     6     2     9     10    3     9     7     8     6     5     8     6     4     
Vardas30            Pavarde30           4     9     4     7     9     5     8     5     10    10    7     1     4     2     7     4     
Vardas31            Pavarde31           1     4     6     3     3     10    6     7     4     9     9     7     10    5     6     1     
Vardas32            Pavarde32           2     8     10    5     10    7     6     3     5     9     3     5     2     6     3     9     
Vardas33            Pavarde33           5     9     7     4     7     3     10    8     3     3     6     10    8     4     9     6     
Vardas34            Pavarde34           10    1     2     3     7     7     8     10    7     7     8     3     1     9     3     2     
Vardas35            Pavarde35           10    2     10    6     4     5     2     5     2     7     4     7     9     2     1     2     
Vardas36            Pavarde36           1     6     7     8     8     4     8     4     7     1     6     1     6     4     7     10    
Vardas37            Pavarde37           10    1     2     7     2     2     4     2     6     8     2     3     1     3     1     9     
Vardas38            Pavarde38           8     1     5     10    3     10    1     9     2     10    2     3     1     2     2     7     
Vardas39            Pavarde39           4     3     7     8     2     7     2     7     1     9     5     2     4     5     6     10    
Vardas40            Pavarde40           9     7     5     3     6     7     7     7     8     3     8     3     9     10    3     3     
Vardas41            Pavarde41           7     8     1     4     9     9     3     7     3     8     1     7     10    7     9     4     
Vardas42            Pavarde42           1     3     2     4     3     6     8     9     9     6     5     8     4     6     4     3     
Vardas43            Pavarde43           10    9     8     8     9     1     2     7     10    9     1     1     3     6     5     2     
Vardas44            Pavarde44           9     4     3     10    1     6     9     5     5     2     6     8     7     2     7     7     
Vardas45            Pavarde45           10    2     4     3     1     6     8     6     2     10    4     8     2     7     7     1     
Vardas46            Pavarde46           2     1     6     1     7     7     10    1     8     10    4     5     4     1     2     9     
Vardas47            Pavarde47           7     1     4     7     7     2     6     2     10    7     8     2     7     5     2     5     
Vardas48            Pavarde48           10    1     3     9     4     6     5     9     7     1     5     4     1     4     5     8     
Vardas49            Pavarde49           9     6     6     7     6     7     7     4     4     4     10    9     10    1     7     2     
Vardas50            Pavarde50           7     8     5     7     7     6     5     5     2     7     9     6     8     8     1     1     
Vardas51            Pavarde51           9     1     7     9     1     1     8     9     8     3     3     1     10    7     10    6     
Vardas52            Pavarde52           3     9     1     10    9     9     4     1     2     8     6     9     1     9     10    7     
Vardas53            Pavarde53           1     7     2     2     4     6     9     2     10    9     8     10    9     4     5     10    
Vardas54            Pavarde54           8     4     5     10    7     3     2     2     4     8     6     4     5     5     2     2     
Vardas55            Pavarde55           5     4     5     2     8     7     7     5     3     5     2     3     3     8     3     1     
Vardas56            Pavarde56           5     9     5     6     8     3     8     9     4     2     7     3     7     2     3     4     
Vardas57            Pavarde57           3     2     4     10    3     6     2     10    1     8     3     3     3     1     10    10    
Vardas58            Pavarde58           1     9     4     1     8     2     10    1     6     8     2     2     6     8     6     3     
Vardas59            Pavarde59           2     10    9     9     1     6     4     10    7     6     7     10    6     10    4     6     
Vardas60            Pavarde60           10    5     5     6     2     2     6     6     9     10    1     7     10    5     6     10    
Vardas61            Pavarde61           8     6     10    8     9     6     3     2     3     10    5     8     5     3     6     9     
Vardas62            Pavarde62           6     1     9     2     5     8     2     6     7     5     8     1     5     6     1     5     
Vardas63            Pavarde63           1     4     4     6     6     5     6     10    5     2     4     3     6     8     9     1     
Vardas64            Pavarde64           9     1     3     6     4     9     8     1     6     7     2     5     6     9     8     10    
Vardas65            Pavarde65           3     5     2     4     1     3     10    6     7     7     4     2     7     8     7     4     
Vardas66            Pavarde66           10    2     3     3     3     6     9     6     8     10    4     7     6     3     5     9     
Vardas67            Pavarde67           5     9     4     4     3     8     7     4     10    1     10    2     5     1     1     10    
Vardas68            Pavarde68           1     8     8     2     4     10    3     5     9     9     3     1     4     6     9     9     
Vardas69            Pavarde69           4     9     4     8     1     1     6     6     7     9     10    3     3     8     4     7     
Vardas70            Pavarde70           10    3     5     3     8     9     7     10    5     10    3     9     3     9     7     2     
Vardas71            Pavarde71           3     3     10    2     6     1     2     1     2     2     3     2     1     4     6     5     
Vardas72            Pavarde72           9     1     5     5     2     7     5     1     6     2     7     8     9     9     9     1     
Vardas73            Pavarde73           2     10    5     5     6     10    4     10    8     3     1     10    5     9     1     10    
Vardas74            Pavarde74           10    6     9     2     3     9     4     9     1     8     4     1     2     5     8     7     
Vardas75            Pavarde75           7     1     10    10    3     2     3     3     7     3     7     6     3     6     9     7     
Vardas76            Pavarde76           3     1     9     9     9     9     6     3     2     3     3     9     1     10    10    3     
Vardas77            Pavarde77           7     8     2     3     5     1     1     2     9     8     4     10    10    8     10    7     
Vardas78            Pavarde78           2     1     2     5     9     10    2     8     6     6     6     8     2     5     9     10    
Vardas79            Pavarde79           5     5     1     3     3     5     2     5     6     5     1     3     1     10    1     1     
